,Customer_ID,Age,Annual_Income,Monthly_Income,Monthly_Spending,Savings,Checking_Balance,Credit_Score,Credit_Card_Spending,Loan_Amount,Number_of_Loans,Investment_Amount,Debt_to_Income_Ratio,Transaction_Frequency,Financial_Risk_Score,Behavior_Segment,Cluster,Behaviour
0,1,50,588136.12,49011.34,26117.6,176575.78,106470.41,740,12623.78,192682.95,2,96716.29,0.326,41,57.83,Middle_Class,1,Premium
1,2,35,280583.35,23381.95,18613.74,13647.27,199631.33,690,16499.64,642670.79,3,481.08,0.731,22,97.32,High_Risk,1,Premium
2,3,56,1814245.74,151187.14,67295.5,733077.96,277367.13,746,29208.74,963441.87,0,413282.28,0.254,84,12.49,High_Income,0,Normal
3,4,46,1573374.79,131114.57,35836.31,538010.43,275278.63,847,7395.25,678471.44,4,289862.38,0.168,87,30.53,High_Income,0,Normal
4,5,25,234485.96,19540.5,9516.88,34721.39,47411.21,670,4475.81,188038.72,2,15597.06,0.391,28,65.11,Young_Budget,1,Premium
5,6,27,328370.29,27364.19,12702.73,64614.79,28297.46,587,5679.5,139238.02,1,4020.71,0.384,28,73.54,Young_Budget,1,Premium
6,7,34,293067.08,24422.26,11975.56,31006.27,164351.28,619,6128.53,206978.02,0,15016.26,0.416,31,63.06,Young_Budget,1,Premium
7,8,52,1464215.59,122017.97,32646.05,748081.67,17029.68,801,6713.69,182840.12,1,537438.32,0.125,68,12.12,Investor,0,Normal
8,9,59,1895268.52,157939.04,42460.66,831209.02,197329.64,769,8709.86,324438.21,2,673353.89,0.199,53,10.39,High_Income,0,Normal
9,10,41,1727265.09,143938.76,48654.98,485061.73,125301.64,787,15648.01,662695.35,2,391844.13,0.158,47,33.12,High_Income,0,Normal
10,11,33,344446.15,28703.85,14189.97,41892.65,170523.96,705,6011.57,122482.94,1,12274.99,0.33,23,80.02,Young_Budget,1,Premium
11,12,42,150000.0,12500.0,5421.22,1505.84,167219.88,559,3618.01,473965.24,3,1813.43,0.547,24,96.51,High_Risk,1,Premium
12,13,36,2073969.14,172830.76,59716.25,1044855.28,132628.26,772,15981.57,271528.97,1,1032666.03,0.224,85,5.34,Investor,0,Normal
13,14,33,234647.17,19553.93,8890.05,43009.98,256822.14,693,3171.31,232320.16,2,6193.19,0.356,17,61.35,Young_Budget,1,Premium
14,15,25,456033.88,38002.82,21643.53,57361.75,220277.85,688,11098.84,170232.13,4,9869.4,0.412,29,75.37,Young_Budget,1,Premium
15,16,28,312875.99,26073.0,16113.86,44141.93,178379.73,751,6508.93,94907.72,0,16031.56,0.394,17,78.99,Young_Budget,1,Premium
